id,Q,S,petal_loc,offset_x,offset_y,rot_z,obsX,obsY,obsZ,ptlX,ptlY,ptlZ,x_cmm,dx,y_cmm,dy,z_cmm,dz
3011,30.87138,63.1867,3.0,-0.0133,-0.0258,0.000211098,54.23299610535504,32.420996146344024,-0.4055257908192461,54.25314435040544,32.435344138860835,-0.4055257908192461,54.23182364,0.02132071040544048,32.420116355000005,0.015227783860829902,-0.485090854999999,0.07956506418075288
3075,15.066139999999999,158.4591,3.0,-0.0133,-0.0258,0.000211098,152.98299309167191,41.18100480204511,-2.6607293694483745,153.00498835674904,41.17450667266957,-2.6607293694483745,152.97929915999995,0.02568919674908443,41.179510215,-0.00500354233042799,-2.7745703249999987,0.11384095555162421
3150,3.32114,242.1558,3.0,-0.0133,-0.0258,0.000211098,241.6339944703598,14.02198067821908,-6.401191345974464,241.65025454455585,13.996769105028672,-6.401191345974464,241.626666715,0.023587829555850703,14.02186476,-0.025095654971327264,-6.539233135,0.13804178902553588
3239,34.75535,262.8391,3.0,-0.0133,-0.0258,0.000211098,215.8249815686411,149.75297036804568,-7.571503077791901,215.86989475814124,149.73320400157337,-7.571503077791901,215.81828893,0.05160582814124837,149.748673735,-0.015469733426641596,-7.69941112,0.12790804220809893
3321,15.80897,316.4,3.0,-0.0133,-0.0258,0.000211098,304.18102336213104,86.12599035755485,-11.039050599457644,304.2125030548276,86.08757362519492,-11.039050599457644,304.1726920800001,0.03981097482750329,86.12419425000002,-0.03662062480509576,-11.159405494999998,0.1203548955423539
3439,2.00235,410.0323,3.0,-0.0133,-0.0258,0.000211098,409.189997925656,14.306033111112905,-18.87129684274544,409.2063142294062,14.245450794638767,-18.87129684274544,409.177041685,0.029272544406182988,14.305453839999998,-0.060003045361231244,-18.997904395,0.12660755225455844
3482,8.32523,408.862,3.0,-0.0133,-0.0258,0.000211098,403.9729844805734,59.11497065767453,-18.756596032866085,403.9987599775928,59.05548864390032,-18.756596032866085,403.964919415,0.03384056259278623,59.11414922499999,-0.05866058109967298,-18.841249800000003,0.08465376713391848
3517,16.06723,410.6469,3.0,-0.0133,-0.0258,0.000211098,394.03402883604076,113.48797786331622,-18.93171358550449,394.0712825875017,113.43059273169017,-18.93171358550449,394.02425361,0.04702897750166812,113.48506203,-0.05446929830982583,-19.02973409,0.09802050449551203
3534,25.68357,408.6978,3.0,-0.0133,-0.0258,0.000211098,367.79101378237124,176.87598439639436,-18.740538828034463,367.8416491998613,176.82413770035922,-18.740538828034463,367.77945567,0.06219352986130389,176.87083576499995,-0.04669806464073645,-18.86918819,0.128649361965536
3541,35.061,361.2189,3.0,-0.0133,-0.0258,0.000211098,295.3510534892829,207.27599939301777,-14.46655695110955,295.40810790313907,207.2394439502587,-14.46655695110955,295.332581765,0.07552613813908238,207.263367475,-0.023923524741292113,-14.743447455,0.2768905038904492
3542,29.5799,410.9002,3.0,-0.0133,-0.0258,0.000211098,356.828059482198,202.54100702986446,-18.956649342947745,356.8841129788633,202.49147401969194,-18.956649342947745,356.800498735,0.08361424386328054,202.525551555,-0.03407753530805735,-19.27535677,0.31870742705225297
4011,66.63786,63.4248,4.0,-0.0104,0.0815,0.628135812,25.14985806183761,58.22341725437923,-0.40862038957329716,54.52414445623124,32.258933631931704,-0.40862038957329716,54.49057974,0.0335647162312398,32.257152555,0.0017810769317065933,-0.4270556,0.01843521042670282
4150,39.38876,242.0437,4.0,-0.0104,0.0815,0.628135812,186.97644512121838,153.52276476592812,-6.395105224107937,241.4634441095568,14.272601028022265,-6.395105224107937,241.430763775,0.03268033455680097,14.310093509999998,-0.037492481977732695,-6.459309944999998,0.06420472089206175
4321,51.81969,316.3826,4.0,-0.0104,0.0815,0.628135812,195.406809602929,248.49343296796243,-11.037818761771447,304.09297597758257,86.16168644456744,-11.037818761771447,304.040208935,0.05276704258255904,86.210614375,-0.048927930432569156,-11.152610420000002,0.11479165822855464
4439,37.91965,410.2831,4.0,-0.0104,0.0815,0.628135812,323.1932060999007,251.7771085355221,-18.895936253844717,409.41767548434734,13.72652006300973,-18.895936253844717,409.38322859,0.03444689434735437,13.800277045,-0.07375698199026992,-18.94291052,0.046974266155284994
4482,44.35564,409.3664,4.0,-0.0104,0.0815,0.628135812,292.2815706633586,285.7802951555833,-18.805976865067937,404.3878624745644,59.40416105690318,-18.805976865067937,404.340232135,0.04763033956436402,59.47524291,-0.07108185309682113,-18.891694195,0.08571732993206282
4496,65.25851999999999,379.6649,4.0,-0.0104,0.0815,0.628135812,158.7066083889901,344.3959346136491,-16.041277080159425,330.75384704800115,185.32515020421562,-16.041277080159425,330.683837575,0.07000947300116422,185.37932743,-0.054177225784371785,-16.094368275,0.053091194840575895
4517,52.06528,410.5139,4.0,-0.0104,0.0815,0.628135812,252.0033062980108,323.30812482236973,-18.918628925157964,393.850493784014,113.43785832873152,-18.918628925157964,393.79735575,0.05313803401401174,113.506823375,-0.06896504626847388,-18.940266915,0.021637989842034244
4534,61.58651999999999,408.7464,4.0,-0.0104,0.0815,0.628135812,194.21538187142428,358.9919356673747,-18.74529052882974,368.0620177855112,176.26884647653657,-18.74529052882974,367.99316469,0.06885309551120145,176.33021684,-0.06137036346342484,-18.800554745,0.055264216170257896
4541,71.10982,361.4733,4.0,-0.0104,0.0815,0.628135812,116.90148001753651,341.63233712567603,-14.48757528423402,295.30430516614916,207.6553138757176,-14.48757528423402,295.222127645,0.08217752114916266,207.695503595,-0.04018971928238102,-14.663760915,0.17618563076597837
4542,65.54444000000001,411.3121,4.0,-0.0104,0.0815,0.628135812,170.0302230550912,373.8654536145535,-18.99724276940722,357.233451859122,202.51547679500118,-18.99724276940722,357.13719327,0.09625858912198737,202.56225633,-0.04677953499881937,-19.304881895,0.3076391255927824
5011,103.17749,63.1784,5.0,-0.0643,0.012,1.256690922,-14.402279104607288,61.51312462338155,-0.4054181326670893,54.06212411501333,32.63820937057909,-0.4054181326670893,54.02526125625001,0.03686285876332107,32.653117179999995,-0.014907809420904528,-0.5064724549999989,0.10105432233290962
5075,87.13834,158.4074,5.0,-0.0643,0.012,1.256690922,7.9069170285205335,158.17959114234702,-2.658929960614217,152.89178372184395,41.28716094673161,-2.658929960614217,152.85136956000005,0.040414161843898455,41.323335008333345,-0.03617406160173431,-2.744724664999999,0.08579470438578163
5150,75.4115,242.3743,5.0,-0.0643,0.012,1.256690922,61.018933523805195,234.44819468868357,-6.413062116017636,241.83860045518517,14.338135433569498,-6.413062116017636,241.798868045,0.0397324101851666,14.393030215,-0.05489478143050164,-6.555185865,0.1421237489823639
5239,106.77618000000001,262.5235,5.0,-0.0643,0.012,1.256690922,-75.73045823800832,251.20877476492046,-7.552941591900568,215.52825723822193,149.57525693326534,-7.552941591900568,215.461747355,0.06650988322192575,149.62136606,-0.046109126734677375,-7.679712500000001,0.1267709080994326
5321,87.90053,316.2669,5.0,-0.0643,0.012,1.256690922,11.57671422145834,315.79397311195737,-11.029629585586012,303.9284335589419,86.49436414583904,-11.029629585586012,303.874023435,0.05441012394186373,86.56076870000003,-0.06640455416098234,-11.143955675,0.11432608941398925
5439,74.01099,410.5377,5.0,-0.0643,0.012,1.256690922,112.92000485933411,394.0841287758806,-18.920969969077376,409.69970697909514,14.298458789139843,-18.920969969077376,409.656825755,0.04288122409514017,14.388968075,-0.09050928586015594,-19.034300325,0.11333035592262419
5482,80.37213,408.9582,5.0,-0.0643,0.012,1.256690922,68.29938405554846,402.6190887175408,-18.76600758229561,404.0308338489761,59.372944028081704,-18.76600758229561,403.98026503000006,0.05056881897604626,59.46124789500001,-0.08830386691830228,-18.85970935,0.09370176770438832
5496,101.32321999999999,379.8285,5.0,-0.0643,0.012,1.256690922,-74.48642561119944,371.9835183274306,-16.055716403812244,330.7782375926783,185.70735247260637,-16.055716403812244,330.70017859,0.07805900267828747,185.77580631,-0.06845383739363342,-16.187545964999998,0.1318295611877538
5517,88.09801999999999,410.5866,5.0,-0.0643,0.012,1.256690922,13.607505789833644,409.76574300416087,-18.925780505944005,393.92990666279434,113.59699298888589,-18.925780505944005,393.8660557,0.06385096279433355,113.68152896,-0.08453597111410716,-19.03977943,0.11399892405599488
5534,97.66474000000001,408.8851,5.0,-0.0643,0.012,1.256690922,-54.45732266571632,404.6503729637812,-18.758855702118417,368.0351134216169,176.75115014682865,-18.758855702118417,367.959794535,0.07531888661691255,176.82951437,-0.07836422317134861,-18.85778361,0.09892790788158123
5541,107.08758999999999,361.7,5.0,-0.0643,0.012,1.256690922,-106.16364742076529,345.3564734331603,-14.506320985527234,295.66679268545124,207.6078624644005,-14.506320985527234,295.57617691,0.09061577545122645,207.66266117000004,-0.0547987055995236,-14.767591240000002,0.26127025447276786
5542,101.6228,410.7898,5.0,-0.0643,0.012,1.256690922,-82.6408133026708,401.78287278080313,-18.945778611731964,356.60017709343254,202.66975221084914,-18.945778611731964,356.49626231,0.10391478343251492,202.73171614,-0.06196392915086335,-19.31469259,0.3689139782680364
6011,138.78203,62.9895,6.0,0.0106,0.0638,1.8854279999999999,-47.37992536859507,41.504244937812786,-0.4029718902603271,54.071919239991516,32.23972582171227,-0.4029718902603271,54.04383442,0.02808481999151269,32.271469545,-0.03174372328773245,-0.498466379999999,0.0954944897396719
6075,123.24946000000001,158.566,6.0,0.0106,0.0638,1.8854279999999999,-86.92274276790656,132.58194092881737,-2.664452036285441,152.91581740151358,41.65593053166851,-2.664452036285441,152.88255825,0.03325915151359027,41.70789801,-0.05196747833149118,-2.79614294,0.13169090371455905
6150,111.32359,242.2954,6.0,0.0106,0.0638,1.8854279999999999,-88.06503658352169,225.60064246613155,-6.408774381111979,241.72177208340295,13.956001219712874,-6.408774381111979,241.690636245,0.031135838402946092,14.027568885000004,-0.07156766528713021,-6.54343816,0.1346637788880214
6239,142.79273,262.4828,6.0,0.0106,0.0638,1.8854279999999999,-208.93751873249718,158.63399793780778,-7.5505494698069295,215.44844481308596,149.61882108714778,-7.5505494698069295,215.390704185,0.05774062808595204,149.68073600999998,-0.06191492285219624,-7.667889324999999,0.11733985519306955
6321,123.86521,316.6468,6.0,0.0106,0.0638,1.8854279999999999,-176.30272540011808,262.7105726620483,-11.05653063265527,304.3165780460342,86.37786886575509,-11.05653063265527,304.2697984250001,0.046779621034090724,86.460330185,-0.08246131924491351,-11.175877579999998,0.11934694734472728
6439,109.96105,410.131,6.0,0.0106,0.0638,1.8854279999999999,-139.80867424162156,384.93518143112084,-18.880990999416998,409.247556068692,13.850904156618839,-18.880990999416998,409.21354469000005,0.03401137869195736,13.95712527,-0.10622111338116191,-18.979454875,0.09846387558300052
6482,116.38753,409.1825,6.0,0.0106,0.0638,1.8854279999999999,-181.59574198432955,366.02225112029305,-18.787963347977154,404.1947404136809,59.43957618632781,-18.787963347977154,404.150121445,0.044618968680879334,59.54435476,-0.1047785736721849,-18.896461735000006,0.10849838702285197
6496,137.31964,380.0718,6.0,0.0106,0.0638,1.8854279999999999,-279.06930402219336,257.3406822247905,-16.077205833340376,331.0130805767168,185.7614799775707,-16.077205833340376,330.943410985,0.06966959171677445,185.846120425,-0.0846404474293081,-16.20759072,0.13038488665962333
6517,124.10213,410.7872,6.0,0.0106,0.0638,1.8854279999999999,-229.9818346929749,339.65455091343904,-18.945522645833712,394.09528181162244,113.61032952937686,-18.945522645833712,394.04028345,0.0549983616224381,113.71094535,-0.10061582062314756,-19.055596135,0.11007348916628601
6534,133.68528,408.7381,6.0,0.0106,0.0638,1.8854279999999999,-281.909241023417,295.1529456573213,-18.744478969689624,367.84802082959163,176.7603864534947,-18.744478969689624,367.779216645,0.0688041845916132,176.85301304,-0.09262658650530398,-18.865276365,0.12079739531037603
6542,137.57593,410.7937,6.0,0.0106,0.0638,1.8854279999999999,-302.79646742221854,276.72452761232023,-18.94616256469409,356.7881374888796,202.3252412108751,-18.94616256469409,356.687985725,0.1001517638796372,202.400863905,-0.07562269412488831,-19.368694660000006,0.4225320953059146
7011,174.73379,62.9755,7.0,0.0476,-0.1252,2.513129889,-62.707962896259176,5.7799437971489995,-0.40279089243295196,54.2366414792861,32.11725577845547,-0.40279089243295196,54.223540775,0.013100704286102882,32.156358325,-0.03910254654452672,-0.5668154000000001,0.16402450756704812
7075,159.23688,158.6074,7.0,0.0476,-0.1252,2.513129889,-148.27803722287288,56.21635381777801,-2.665894477403288,153.10869357982978,41.6244314609901,-2.665894477403288,153.08992505,0.01876852982977084,41.684137825,-0.05970636400989804,-2.82696345,0.16106897259671182
7150,147.35224,242.1294,7.0,0.0476,-0.1252,2.513129889,-203.77663071963454,130.5600544434669,-6.399757789672563,241.71009869176123,14.113148047956557,-6.399757789672563,241.6937129,0.016385791761223345,14.192133875,-0.07898582704344292,-6.5802239,0.18046611032743698
7239,178.73206000000002,262.2496,7.0,0.0476,-0.1252,2.513129889,-262.03798805605663,5.799776123124186,-7.536850228885934,215.49277819914815,149.2877200333683,-7.536850228885934,215.449593825,0.04318437414815435,149.3564816,-0.06876156663170718,-7.693678625,0.15682839611406685
7321,159.84372,316.1128,7.0,0.0476,-0.1252,2.513129889,-296.5083937607353,108.8370379189041,-11.018727442034615,303.9528050428548,86.20277857640934,-11.018727442034615,303.91882685000013,0.033978192854647205,86.29221365000002,-0.08943507359067837,-11.19999285,0.18126540796538393
7439,145.95886000000002,410.2239,7.0,0.0476,-0.1252,2.513129889,-339.4346614877766,229.30635069642668,-18.890118399629415,409.50138750074484,13.987707274137705,-18.890118399629415,409.47923439999994,0.02215310074490162,14.1023033,-0.114596025862296,-19.044632725,0.15451432537058452
7482,152.37906,408.7247,7.0,0.0476,-0.1252,2.513129889,-361.62484281111756,189.2212162591257,-18.743168789222658,403.885611808038,59.459514071189915,-18.743168789222658,403.85418030000005,0.03143150803794015,59.57128867500001,-0.11177460381009752,-18.8959718,0.15280301077734393
7496,173.2633,379.7948,7.0,0.0476,-0.1252,2.513129889,-376.71524907331934,44.49851895115101,-16.05274134644072,331.00997383986487,185.402044091774,-16.05274134644072,330.95462389999994,0.05534993986492509,185.49413135000003,-0.09208725822603014,-16.211662875000002,0.15892152855928288
7517,160.07103,410.5276,7.0,0.0476,-0.1252,2.513129889,-385.3844443385605,139.7276548416681,-18.919976478397892,394.00815824945346,113.46476564661101,-18.919976478397892,393.97229475,0.03586349945345546,113.57465865,-0.10989300338899,-19.010854375,0.09087789660210888
7534,169.6805,408.8068,7.0,0.0476,-0.1252,2.513129889,-401.61708190005965,73.12740259555378,-18.751197011342327,367.98484449512114,176.88305372420442,-18.751197011342327,367.930019325,0.0548251701211484,176.9837007,-0.10064697579559834,-18.899364025,0.14816701365767315
7541,179.03791,361.1131,7.0,0.0476,-0.1252,2.513129889,-360.66996095383166,6.056808762306682,-14.457821402556894,295.43046774290576,207.06572565740183,-14.457821402556894,295.36677575,0.06369199290577399,207.14586995,-0.08014429259816325,-14.688073125,0.2302517224431071
7542,173.51415,411.0923,7.0,0.0476,-0.1252,2.513129889,-407.86760577382677,46.3686103964136,-18.975574249264827,357.3095488889705,202.2037976385249,-18.975574249264827,357.23796989999994,0.07157898897054338,202.293908325,-0.09011068647510001,-19.269054475,0.2934802257351734
8011,210.81307,63.4429,8.0,-0.057,-0.035,3.1415789530000002,-54.485979929692796,-32.49701086535297,-0.4088561297121392,54.428535175889756,32.46275657143316,-0.4088561297121392,54.43477754,-0.006242364110242704,32.49931597,-0.036559398566836876,-0.47998907,0.07113294028786082
8075,195.17799,158.8994,8.0,-0.057,-0.035,3.1415789530000002,-153.32699280115378,-41.59478057972826,-2.676079826796335,153.26942339326334,41.561880465126634,-2.676079826796335,153.270400275,-0.0009768817366477833,41.618393985,-0.05651351987336284,-2.789356355,0.11327652820366474
